ID,ID2,Ccol,Cmer,TYPE,EVID,CMT,TIME,NOP,NOB,G10,NDV,DV,AMT,L2,REPL,BACT,BLOQ,DILcol,DILmer,STR
1,1,0,0,4,1,1,0,0,0,0,0,0,250000,0,0,1,0,0,0,25
1,1,0,0,4,0,1,0,3,11,4,108770.9963,11.597,0,1,1,1,0,0,0,25
1,1,0,0,4,0,1,0,3,2,5,119491.4381,11.691,0,1,2,1,0,0,0,25
1,1,0,0,4,0,1,0.5,3,37,4,365126.8111,12.808,0,2,1,1,0,0,0,25
1,1,0,0,4,0,1,0.5,3,9,5,878525.3129,13.686,0,2,2,1,0,0,0,25
1,1,0,0,4,0,1,1,3,142,4,1415509.366,14.163,0,1,1,1,0,0,0,25
1,1,0,0,4,0,1,1,3,15,5,1401424.812,14.153,0,1,2,1,0,0,0,25
1,1,0,0,4,0,1,2,3,132,4,1311917.021,14.087,0,2,1,1,0,0,0,25
1,1,0,0,4,0,1,2,3,12,5,1106818.233,13.917,0,2,2,1,0,0,0,25
1,1,0,0,4,0,1,2,3,2,6,1023767.492,13.839,0,2,3,1,0,0,0,25
1,1,0,0,4,0,1,4,3,4,5,373995.8575,12.832,0,1,1,1,0,0,0,25
1,1,0,0,4,0,1,4,3,1,6,962221.5456,13.777,0,1,2,1,0,0,0,25
1,1,0,0,4,0,1,4,3,1,7,700115.0796,13.459,0,1,3,1,0,0,0,25
1,1,0,0,4,0,1,6,3,79,5,7881273.024,15.88,0,2,1,1,0,0,0,25
1,1,0,0,4,0,1,6,3,9,6,8753813.57,15.985,0,2,2,1,0,0,0,25
1,1,0,0,4,0,1,6,3,1,7,8529147.73,15.959,0,2,3,1,0,0,0,25
1,1,0,0,4,0,1,8,3,307,5,30614980.32,17.237,0,1,1,1,0,0,0,25
1,1,0,0,4,0,1,8,3,40,6,39546984.34,17.493,0,1,2,1,0,0,0,25
1,1,0,0,4,0,1,8,3,5,7,44013193.53,17.6,0,1,3,1,0,0,0,25
1,1,0,0,4,0,1,24,3,814,6,813616758.1,20.517,0,2,1,1,0,0,0,25
1,1,0,0,4,0,1,24,3,58,7,579108262.5,20.177,0,2,2,1,0,0,0,25
1,1,0,0,4,0,1,24,3,5,8,432892505.5,19.886,0,2,3,1,0,0,0,25
2,1,0.08091,0,2,1,1,0,0,1,0,1,0,250000,1,0,1,0,0,0,26
2,1,0.08091,0,2,0,1,0,3,17,4,164226.1959,12.009,0,1,1,1,0,0,0,26
2,1,0.08091,0,2,0,1,0.5,3,4,4,30638.1119,10.33,0,2,1,1,0,0,0,26
2,1,0.08091,0,2,0,1,0.5,3,1,5,28509.70972,10.258,0,2,2,1,0,0,0,26
2,1,0.08091,0,2,0,1,1,3,1,4,7399.738939,8.9092,0,1,1,1,0,0,0,26
2,1,0.08091,0,2,0,1,1,3,1,5,9992.59902,9.2096,0,1,2,1,0,0,0,26
2,1,0.08091,0,2,0,1,2,3,620,3,619086.3245,13.336,0,2,1,1,0,0,0,26
2,1,0.08091,0,2,0,1,2,3,197,4,1963030.479,14.49,0,2,2,1,0,0,0,26
2,1,0.08091,0,2,0,1,2,3,17,5,1698065.127,14.345,0,2,3,1,0,0,0,26
2,1,0.08091,0,2,0,1,4,2,1070,4,10691932.04,16.185,0,1,1,1,0,0,0,26
2,1,0.08091,0,2,0,1,4,2,35,5,3443503.602,15.052,0,1,2,1,0,0,0,26
2,1,0.08091,0,2,0,1,6,1,196,5,19579624.16,16.79,0,2,1,1,0,0,0,26
2,1,0.08091,0,2,0,1,8,1,154,5,15309743.29,16.544,0,1,1,1,0,0,0,26
2,1,0.08091,0,2,0,1,24,2,1550,6,1549193020,21.161,0,2,1,1,0,0,0,26
2,1,0.08091,0,2,0,1,24,3,77,7,761651759,20.451,0,2,2,1,0,0,0,26
3,1,0.2483,0,2,1,1,0,0,1,0,1,0,250000,1,0,1,0,0,0,27
3,1,0.2483,0,2,0,1,0,3,40,4,394746.8688,12.886,0,1,1,1,0,0,0,27
3,1,0.2483,0,2,0,1,0,3,7,5,663311.5047,13.405,0,1,2,1,0,0,0,27
3,1,0.2483,0,2,0,1,0,3,1,6,537669.8559,13.195,0,1,3,1,0,0,0,27
3,1,0.2483,0,2,0,1,0.5,3,4,4,32630.41148,10.393,0,2,1,1,0,0,0,27
3,1,0.2483,0,2,0,1,0.5,3,1,5,36242.94425,10.498,0,2,2,1,0,0,0,27
3,1,0.2483,0,2,0,1,1,3,60,4,593029.8417,13.293,0,1,1,1,0,0,0,27
3,1,0.2483,0,2,0,1,1,3,7,5,668639.2794,13.413,0,1,2,1,0,0,0,27
3,1,0.2483,0,2,0,1,2,3,125,3,124367.9762,11.731,0,2,1,1,0,0,0,27
3,1,0.2483,0,2,0,1,2,3,15,4,145801.2978,11.89,0,2,2,1,0,0,0,27
3,1,0.2483,0,2,0,1,2,3,2,5,115612.5739,11.658,0,2,3,1,0,0,0,27
3,1,0.2483,0,2,0,1,4,3,294,3,293901.5129,12.591,0,1,1,1,0,0,0,27
3,1,0.2483,0,2,0,1,4,3,26,4,259367.1748,12.466,0,1,2,1,0,0,0,27
3,1,0.2483,0,2,0,1,4,3,3,5,278451.7295,12.537,0,1,3,1,0,0,0,27
3,1,0.2483,0,2,0,1,6,2,661,4,6602771.215,15.703,0,2,1,1,0,0,0,27
3,1,0.2483,0,2,0,1,6,2,95,5,9473414.88,16.064,0,2,2,1,0,0,0,27
3,1,0.2483,0,2,0,1,8,2,9535,4,95343812.94,18.373,0,1,1,1,0,0,0,27
3,1,0.2483,0,2,0,1,8,2,245,5,24495500.36,17.014,0,1,2,1,0,0,0,27
3,1,0.2483,0,2,0,1,24,2,27,6,26856004.9,17.106,0,2,1,1,0,0,0,27
3,1,0.2483,0,2,0,1,24,2,4,7,34380496.52,17.353,0,2,2,1,0,0,0,27
4,1,0.9582,0,2,1,1,0,0,1,0,1,0,250000,1,0,1,0,0,0,28
4,1,0.9582,0,2,0,1,0,3,355,4,3548373.899,15.082,0,1,1,1,0,0,0,28
4,1,0.9582,0,2,0,1,0,3,39,5,3809467.601,15.153,0,1,2,1,0,0,0,28
4,1,0.9582,0,2,0,1,0.5,3,16,4,150091.4419,11.919,0,2,1,1,0,0,0,28
4,1,0.9582,0,2,0,1,1,3,69,3,68734.05078,11.138,0,1,1,1,0,0,0,28
4,1,0.9582,0,2,0,1,1,3,6,4,57354.12232,10.957,0,1,2,1,0,0,0,28
4,1,0.9582,0,2,0,1,1,3,1,5,59100.81539,10.987,0,1,3,1,0,0,0,28
4,1,0.9582,0,2,0,1,2,3,242,3,241107.941,12.393,0,2,1,1,0,0,0,28
4,1,0.9582,0,2,0,1,2,3,18,4,175606.3287,12.076,0,2,2,1,0,0,0,28
4,1,0.9582,0,2,0,1,2,3,3,5,201591.7718,12.214,0,2,3,1,0,0,0,28
4,1,0.9582,0,2,0,1,4,3,57,3,56726.68421,10.946,0,1,1,1,0,0,0,28
4,1,0.9582,0,2,0,1,4,3,9,4,87640.63156,11.381,0,1,2,1,0,0,0,28
4,1,0.9582,0,2,0,1,4,3,1,5,97733.53268,11.49,0,1,3,1,0,0,0,28
4,1,0.9582,0,2,0,1,6,3,2236,3,2235554.827,14.62,0,2,1,1,0,0,0,28
4,1,0.9582,0,2,0,1,6,3,166,4,1654484.437,14.319,0,2,2,1,0,0,0,28
4,1,0.9582,0,2,0,1,6,3,31,5,3044965.107,14.929,0,2,3,1,0,0,0,28
4,1,0.9582,0,2,0,1,8,2,971,4,9703527.139,16.088,0,1,1,1,0,0,0,28
4,1,0.9582,0,2,0,1,8,2,74,5,7333768.047,15.808,0,1,2,1,0,0,0,28
5,1,2.672,0,2,1,1,0,0,1,0,1,0,250000,1,0,1,0,0,0,29
5,1,2.672,0,2,0,1,0,3,224,4,2231088.186,14.618,0,1,1,1,0,0,0,29
5,1,2.672,0,2,0,1,0,3,9,5,889131.1243,13.698,0,1,2,1,0,0,0,29
5,1,2.672,0,2,0,1,0.5,3,25,4,245487.1788,12.411,0,2,1,1,0,0,0,29
5,1,2.672,0,2,0,1,1,3,238,3,237043.7495,12.376,0,1,1,1,0,0,0,29
5,1,2.672,0,2,0,1,1,3,26,4,253977.2563,12.445,0,1,2,1,0,0,0,29
5,1,2.672,0,2,0,1,2,3,104,2,10358.8862,9.2456,0,2,1,1,0,0,0,29
5,1,2.672,0,2,0,1,2,3,12,3,11043.52983,9.3096,0,2,2,1,0,0,0,29
5,1,2.672,0,2,0,1,2,3,1,4,6704.941025,8.8106,0,2,3,1,0,0,0,29
5,1,2.672,0,2,0,1,4,3,141,2,14064.37101,9.5514,0,1,1,1,0,0,0,29
5,1,2.672,0,2,0,1,4,3,16,3,15008.92045,9.6164,0,1,2,1,0,0,0,29
5,1,2.672,0,2,0,1,4,3,3,4,26423.26101,10.182,0,1,3,1,0,0,0,29
5,1,2.672,0,2,0,1,6,2,44,3,43521.04965,10.681,0,2,1,1,0,0,0,29
5,1,2.672,0,2,0,1,6,2,3,4,24563.08537,10.109,0,2,2,1,0,0,0,29
5,1,2.672,0,2,0,1,8,2,34,3,33389.60824,10.416,0,1,1,1,0,0,0,29
5,1,2.672,0,2,0,1,8,2,3,4,29407.35229,10.289,0,1,2,1,0,0,0,29
6,1,5.113,0,2,1,1,0,0,1,0,1,0,250000,2,0,1,0,0,0,30
6,1,5.113,0,2,0,1,0,3,45,4,441088.1407,12.997,0,2,1,1,0,0,0,30
6,1,5.113,0,2,0,1,0,3,3,5,223686.3217,12.318,0,2,2,1,0,0,0,30
6,1,5.113,0,2,0,1,0.5,3,1,4,4808.786287,8.4782,0,1,1,1,0,0,0,30
6,1,5.113,0,2,0,1,1,3,91,2,9032.640339,9.1086,0,2,1,1,0,0,0,30
6,1,5.113,0,2,0,1,1,3,18,3,17043.08792,9.7435,0,2,2,1,0,0,0,30
6,1,5.113,0,2,0,1,1,3,1,4,9643.120128,9.174,0,2,3,1,0,0,0,30
6,1,5.113,0,2,0,1,2,4,1093,1,10923.80902,9.2987,0,1,1,1,0,0,0,30
6,1,5.113,0,2,0,1,2,4,61,2,6065.061734,8.7103,0,1,2,1,0,0,0,30
6,1,5.113,0,2,0,1,2,4,9,3,8372.434656,9.0327,0,1,3,1,0,0,0,30
6,1,5.113,0,2,0,1,4,4,10802,1,108012.258,11.59,0,2,1,1,0,0,0,30
6,1,5.113,0,2,0,1,4,4,1734,2,173338.2211,12.063,0,2,2,1,0,0,0,30
6,1,5.113,0,2,0,1,4,4,152,3,151751.5617,11.93,0,2,3,1,0,0,0,30
6,1,5.113,0,2,0,1,4,4,33,4,329061.519,12.704,0,2,4,1,0,0,0,30
6,1,5.113,0,2,0,1,6,3,32,2,3175.117759,8.0631,0,1,1,1,0,0,0,30
6,1,5.113,0,2,0,1,6,3,2,3,1374.162866,7.2256,0,1,2,1,0,0,0,30
6,1,5.113,0,2,0,1,6,3,1,4,2810.169273,7.941,0,1,3,1,0,0,0,30
6,1,5.113,0,2,0,1,8,2,16,3,15264.72668,9.6333,0,2,1,1,0,0,0,30
6,1,5.113,0,2,0,1,8,2,1,4,3207.028223,8.0731,0,2,2,1,0,0,0,30
7,1,11.471,0,2,1,1,0,0,1,0,1,0,250000,1,0,1,0,0,0,31
7,1,11.471,0,2,0,1,0,3,50,4,497823.0641,13.118,0,1,1,1,0,0,0,31
7,1,11.471,0,2,0,1,0.5,3,14,3,13417.29734,9.5043,0,2,1,1,0,0,0,31
7,1,11.471,0,2,0,1,1,3,8,2,790.2900263,6.6724,0,1,1,1,0,0,0,31
7,1,11.471,0,2,0,1,2,4,45,1,443.146316,6.0939,0,2,1,1,0,0,0,31
7,1,11.471,0,2,0,1,2,4,1,2,72.99566093,4.2904,0,2,2,1,0,0,0,31
7,1,11.471,0,2,0,1,4,4,6,1,55.89640126,4.0235,0,1,1,1,0,0,0,31
7,1,11.471,0,2,0,1,6,4,289,1,2885.057184,7.9673,0,2,1,1,0,0,0,31
7,1,11.471,0,2,0,1,8,4,139,1,1388.389887,7.2359,0,1,1,1,0,0,0,31
7,1,11.471,0,2,0,1,24,4,1528,1,15270.83379,9.6337,0,2,1,1,0,0,0,31
7,1,11.471,0,2,0,1,24,4,244,2,24391.74416,10.102,0,2,2,1,0,0,0,31
7,1,11.471,0,2,0,1,24,4,17,3,16784.31335,9.7282,0,2,3,1,0,0,0,31
7,1,11.471,0,2,0,1,24,4,2,4,12353.56544,9.4217,0,2,4,1,0,0,0,31
8,1,24.099,0,2,1,1,0,0,1,0,1,0,250000,1,0,1,0,0,0,32
8,1,24.099,0,2,0,1,0,3,315,4,3140837.368,14.96,0,1,1,1,0,0,0,32
8,1,24.099,0,2,0,1,0,3,17,5,1674457.851,14.331,0,1,2,1,0,0,0,32
8,1,24.099,0,2,0,1,1,4,107,1,1068.381323,6.9739,0,2,1,1,0,0,0,32
8,1,24.099,0,2,0,1,2,4,1,1,3.247871959,1.178,0,1,1,1,0,0,0,32
8,1,24.099,0,2,0,1,4,4,1,1,7.192940076,1.9731,0,2,1,1,0,0,0,32
8,1,24.099,0,2,0,1,6,4,2,1,14.32347787,2.6619,0,620,1,1,1,0,0,32
8,1,24.099,0,2,0,1,8,4,1,1,3.793162106,1.3332,0,657,1,1,1,0,0,32
8,1,24.099,0,2,0,1,8,4,1,2,5.414063933,1.689,0,907,2,1,1,0,0,32
8,1,24.099,0,2,0,1,24,4,1,1,1.446620288,0.36923,0,376,1,1,1,0,0,32
8,1,24.099,0,2,0,1,24,4,1,2,1.391009858,0.33003,0,696,2,1,1,0,0,32
8,1,24.099,0,2,0,1,24,4,1,3,1.646036044,0.49837,0,304,3,1,1,0,0,32
9,2,0,0,4,1,1,0,0,1,0,1,0,350000,2,0,2,0,0,0,17
